atleta_id;rodada_id;clube_id;posicao_id;status_id;pontos_num;preco_num;variacao_num;media_num;jogos_num;minimo_para_valorizar;media_pontos_mandante;media_pontos_visitante;media_minutos_jogados;minutos_jogados;apelido;nome;foto;scout.G;scout.A;scout.FT;scout.FD;scout.FF;scout.FS;scout.PS;scout.DP;scout.SG;scout.DE;scout.DS;scout.PP;scout.I;scout.PI;scout.CA;scout.GS;scout.FC;scout.PC;scout.GC;scout.CV;year
91772;38;266;3;6;0.0;2.75;0.0;1.02;4;4.07;;;26.0;36.0;David Duarte;David de Duarte Macedo;https://s.glbimg.com/es/sde/f/2022/02/24/3f42def61bc6bfaecea6c0330e2b2122_FORMATO.png;0;0;0;0;0;0;0;0;1;0;2;0;0;7;2;0;2;0;0;0;2022
88033;38;1371;3;7;7.5;5.69;1.14;1.67;27;1.05;1.2;1.66;78.0;94.0;Alan Empereur;Alan Pereira Empereur;https://s.glbimg.com/es/sde/f/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png;1;0;0;0;1;21;0;0;6;0;20;0;1;120;7;0;20;0;0;1;2022
87009;38;266;4;6;-0.2;4.34;-0.11;2.18;23;0.85;1.92;2.74;40.0;36.0;Nathan;Nathan Allan de Souza;https://s.glbimg.com/es/sde/f/2022/04/20/2662f106e29e9ae55a0ef2dd5992e969_FORMATO.png;2;2;0;10;13;10;0;0;0;0;13;0;1;108;3;0;16;0;0;0;2022
83528;38;262;3;6;0.0;4.23;0.0;2.6;11;6.98;;;97.0;96.0;Léo Pereira;Leonardo Pereira;https://s.sde.globo.com/media/person_role/2022/04/25/d6d91945af9d1aa1c5aaeb2d846c2243_FORMATO.png;0;0;0;1;1;8;0;0;4;0;14;0;2;61;3;0;13;1;0;0;2022
78867;38;1371;4;7;0.7;3.34;0.11;1.54;28;0.26;1.83;1.28;65.0;67.0;Rafael Gava;Rafael Gustavo Meneghel Gava;https://s.glbimg.com/es/sde/f/2022/02/23/16687c4ddc3ae72291f2729ad61ed092_FORMATO.png;1;2;1;9;11;21;0;0;0;0;27;0;4;262;2;0;29;0;0;1;2022
38632;38;266;3;5;0.0;3.0;0.0;0.0;0;2.34;;;0.0;0.0;Matheus Ferraz;Matheus Ferraz Pereira;https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
68923;38;264;3;7;1.8;7.3;-0.71;3.86;22;5.87;4.42;3.21;81.0;0.0;Gil;Carlos Gilberto do Nascimento Silva;https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png;0;1;0;5;4;6;0;0;9;0;30;0;2;79;2;0;7;1;0;0;2022
87838;38;266;2;6;0.0;4.72;0.0;2.74;7;3.73;;;52.0;65.0;Pineida;Mario Alberto Pineida Martínez;https://s.glbimg.com/es/sde/f/2022/02/24/276aa6ed48cc157820cbf56e845f043f_FORMATO.png;0;0;0;0;1;6;0;0;4;0;0;0;0;28;0;0;6;0;0;0;2022
38229;38;264;2;7;2.1;7.01;-0.81;4.58;20;6.56;5.14;3.97;68.0;0.0;Fábio Santos;Fábio Santos Romeu;https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png;3;0;0;0;1;14;0;0;8;0;33;0;0;135;3;0;11;0;0;0;2022
62977;38;266;4;3;0.0;6.89;0.0;3.31;32;1.0;2.97;3.61;73.0;84.0;Ganso;Paulo Henrique Chagas de Lima;https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png;5;5;2;4;6;42;1;0;0;0;33;0;0;216;6;0;29;0;0;0;2022
115100;38;262;4;6;0.0;2.78;0.0;3.46;16;2.62;1.58;5.87;28.0;76.0;Matheus França;Matheus França de Oliveira;https://s.glbimg.com/es/sde/f/2022/04/25/52035534eea583575956f43e6e6dc166_FORMATO.png;4;0;0;3;11;4;0;0;0;0;16;0;0;54;1;0;13;0;0;0;2022
114790;38;262;3;6;0.0;1.51;0.0;0.0;1;0.27;;;6.0;6.0;Cleiton;Cleiton Santana dos Santos;https://s.glbimg.com/es/sde/f/2022/04/25/7291f9193cdbd0c264bbbf2610f2a5fa_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
71571;38;356;1;7;8.0;8.59;0.4;6.15;20;6.06;5.7;6.44;82.0;90.0;Fernando Miguel;Fernando Miguel Kaufmann;https://s.glbimg.com/es/sde/f/2022/02/23/66ea94ea2768ebd6a6cb8f102326d669_FORMATO.png;0;0;0;0;0;4;0;0;12;78;0;0;0;0;2;15;0;0;0;0;2022
50317;38;266;3;6;4.9;5.39;-1.14;2.43;12;11.52;;;74.0;93.0;David Braz;David Braz de Oliveira Filho;https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png;1;0;0;1;4;2;0;0;4;0;12;0;0;44;2;0;11;0;0;3;2022
62129;38;266;4;3;0.0;2.11;0.0;0.49;11;0.06;0.6;0.32;62.0;15.0;Wellington;Wellington Aparecido Martins;https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png;0;1;0;0;0;5;0;0;0;0;7;0;0;47;3;0;9;0;0;0;2022
50353;38;356;3;7;5.0;6.5;0.08;3.17;33;4.91;3.77;2.55;81.0;90.0;Titi;Christian Chagas Tarouco;https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png;0;0;0;0;3;25;0;0;15;0;41;0;2;137;5;0;51;0;0;0;2022
73992;38;262;2;6;0.0;4.2;0.0;2.73;15;1.76;4.4;0.19;54.0;65.0;Rodinei;Rodinei Marcelo de Almeida;https://s.glbimg.com/es/sde/f/2022/04/25/bced6ea22dafe56d6176080482dfe8d8_FORMATO.png;0;1;0;2;4;8;0;0;3;0;22;0;0;79;0;0;4;0;1;1;2022
115830;38;1371;3;6;0.0;3.0;0.0;0.0;0;2.34;;;0.0;0.0;Juan Ojeda;Juan Miguel Ojeda Gauto;https://s.glbimg.com/es/sde/f/2022/02/23/329e0ce48997a983d07303483e540281_FORMATO.png;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
104519;38;1371;4;7;3.4;3.77;0.47;1.53;23;0.87;0.89;1.87;70.0;94.0;Camilo;Camilo Reijers de Oliveira;https://s.glbimg.com/es/sde/f/2022/02/23/960b7b2641de9da54e54550f285f7f85_FORMATO.png;0;0;0;2;6;11;0;0;0;0;35;0;0;100;3;0;20;0;0;0;2022
51548;38;264;4;6;0.0;4.72;0.0;1.44;29;1.22;0.97;1.97;47.0;51.0;Giuliano;Giuliano Victor de Paula;https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png;0;2;1;2;9;14;0;0;0;0;23;0;2;84;2;0;15;0;0;0;2022
113010;38;1371;4;6;0.0;1.61;0.1;0.79;18;-0.39;0.33;1.13;59.0;27.0;Osorio;Kelvin David Osorio Antury;https://s.glbimg.com/es/sde/f/2022/02/23/e978cacf512124a39a2efe2b6b5d8164_FORMATO.png;0;0;0;2;7;5;0;0;0;0;19;0;2;103;2;0;18;1;0;0;2022
37788;38;356;1;6;0.0;4.64;0.0;2.87;12;5.58;;;98.0;95.0;Marcelo Boeck;Marcelo Boeck;https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png;0;0;0;0;0;3;0;0;3;38;0;0;0;0;2;17;0;1;0;0;2022
38909;38;262;4;6;0.0;3.36;0.0;1.65;18;0.65;3.42;0.78;40.0;0.0;Diego;Diego Ribas da Cunha;https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png;1;0;0;1;2;19;0;0;0;0;20;0;1;50;3;0;18;1;0;0;2022
38509;38;262;1;6;0.0;6.31;0.0;1.0;3;2.5;;;96.0;95.0;Diego Alves;Diego Alves Carreira;https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;5;0;0;0;0;2022
110759;38;266;5;6;0.0;2.57;0.0;0.55;6;1.75;;;29.0;26.0;John Kennedy;John Kennedy Batista de Souza;https://s.glbimg.com/es/sde/f/2021/08/19/b1b9b8fc3e7ba9cdea447bad10b25ded_FORMATO.png;0;0;0;3;4;1;0;0;0;0;1;0;0;7;3;0;5;0;0;0;2022
51772;38;262;4;6;0.0;8.29;0.0;3.93;28;1.43;5.59;2.25;60.0;0.0;Everton Ribeiro;Everton Augusto de Barros Ribeiro;https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png;2;4;2;10;5;56;0;0;0;0;41;0;1;172;0;0;27;0;0;0;2022
52827;38;262;3;6;0.0;4.83;0.0;1.41;16;4.18;;;82.0;96.0;David Luiz;David Luiz Moreira Marinho;https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png;0;0;0;5;3;4;0;0;3;0;12;0;2;61;4;0;23;0;0;0;2022
78445;38;285;2;7;7.3;9.0;-0.19;5.61;27;7.97;5.69;5.37;84.0;0.0;Renê;Renê Rodrigues Martins;https://s.glbimg.com/es/sde/f/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png;0;1;0;1;2;31;0;0;14;0;75;0;0;256;0;0;18;1;0;0;2022
86759;38;277;4;6;0.0;4.83;0.0;3.25;8;2.2;5.22;1.27;56.0;92.0;Luan;Luan Guilherme de Jesus Vieira;https://s.glbimg.com/es/sde/f/2022/08/05/844f17537a7b2cdc6437bb662770240a_FORMATO.png;1;1;0;2;4;15;0;0;0;0;3;0;0;25;0;0;4;0;0;0;2022
82628;38;356;2;7;9.1;5.39;0.42;3.66;17;6.54;3.79;2.84;62.0;62.0;Tinga;Guilherme de Jesus da Silva;https://s.glbimg.com/es/sde/f/2022/05/12/98abba841d176135f9ec02a557177a7f_FORMATO.png;0;2;0;5;2;9;0;0;6;0;30;0;1;184;3;0;15;0;0;0;2022
97450;38;264;5;5;0.0;3.72;0.0;2.62;20;0.87;3.95;1.0;47.0;3.0;Gustavo Mosquito;Gustavo Henric da Silva;https://s.glbimg.com/es/sde/f/2022/04/27/8aa6b55720ea1d492c743e089aaa35e5_FORMATO.png;3;2;0;2;5;20;0;0;0;0;12;0;1;86;1;0;9;0;0;0;2022
80193;38;286;5;6;0.0;1.61;0.0;0.26;10;0.46;;;43.0;73.0;Edinho;Francisco Edson Moreira da Silva;https://s.glbimg.com/es/sde/f/2022/04/04/7be5a82aee84c2e49f3f8260766fd19d_FORMATO.png;0;0;0;0;1;7;0;0;0;0;2;0;0;28;0;0;4;0;0;0;2022
101579;38;264;3;6;0.0;5.16;0.0;4.32;6;3.05;;;64.0;51.0;Robson Bambu;Robson Alves de Barros;https://s.glbimg.com/es/sde/f/2022/04/27/44c60f9696fad0a8a8156b8192e4af04_FORMATO.png;0;0;0;0;0;4;0;0;3;0;9;0;0;13;0;0;2;0;0;0;2022
102067;38;264;4;6;0.0;1.86;0.0;0.1;5;1.45;;;36.0;46.0;Xavier;João Vitor Xavier de Almeida;https://s.glbimg.com/es/sde/f/2022/04/27/695e017b3a4e70b82e28dd504e54cd9b_FORMATO.png;0;0;0;0;0;0;0;0;0;0;2;0;0;3;1;0;2;0;0;0;2022
73800;38;262;3;5;0.0;5.62;0.0;1.84;8;2.87;;;78.0;23.0;Rodrigo Caio;Rodrigo Caio Coquette Russo;https://s.glbimg.com/es/sde/f/2022/04/25/bdac1c0e302bfdde7669d77948814e95_FORMATO.png;0;0;0;1;0;4;0;0;1;0;7;0;0;10;0;0;3;0;0;0;2022
68917;38;290;5;7;3.0;5.04;0.22;2.94;24;1.48;1.96;3.85;70.0;0.0;Vinicius;Vinicius Santos Silva;https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png;2;4;0;7;13;19;0;0;0;0;25;0;6;168;1;0;17;0;0;0;2022
80583;38;356;4;6;0.0;2.73;0.0;1.18;21;-0.06;0.72;1.92;52.0;23.0;Lucas Lima;Lucas Rafael Araújo Lima;https://s.glbimg.com/es/sde/f/2022/05/12/84bb3dd96bdb6d9a87233dfc22d19bef_FORMATO.png;0;2;0;5;5;21;1;0;0;0;14;0;3;145;3;0;19;0;0;0;2022
84523;38;356;5;7;2.5;3.91;-0.74;2.7;25;6.9;2.02;3.41;55.0;76.0;Romarinho;José Romário Silva de Souza;https://s.glbimg.com/es/sde/f/2022/05/12/ccaf4552cbd0363c0a3fceefa2bf00bf_FORMATO.png;3;3;0;4;17;31;0;0;0;0;13;0;3;94;3;0;17;0;0;1;2022
84817;38;356;5;6;0.0;6.8;0.0;3.26;28;3.21;2.63;3.79;50.0;0.0;Robson;Robson dos Santos Fernandes;https://s.glbimg.com/es/sde/f/2022/05/12/b000ff4ab3334924aefc7d073b85809e_FORMATO.png;4;4;1;11;19;36;1;0;0;0;19;1;18;88;6;0;45;0;0;0;2022
84338;38;356;1;6;0.0;2.88;0.0;1.4;5;2.34;;;;;Max Walef;Max Walef Araújo da Silva;https://s.sde.globo.com/media/person_role/2022/02/23/0784484c9e35ebc5b014f365b5cbb5cc_FORMATO.png;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;6;0;0;0;0;2022
97768;38;290;3;7;3.2;4.71;0.01;2.24;31;3.41;1.61;2.76;85.0;94.0;Reynaldo;Reynaldo César Moraes;https://s.glbimg.com/es/sde/f/2022/05/03/de1fca34e51b21b4624ba9bfd83a4b51_FORMATO.png;0;0;0;2;4;7;0;0;5;0;48;0;0;77;4;0;34;0;0;0;2022
94968;38;356;2;7;13.8;10.99;1.42;6.85;33;5.75;8.69;4.82;85.0;67.0;Juninho Capixaba;Luis Antônio da Rocha Júnior;https://s.glbimg.com/es/sde/f/2022/05/12/91620964c17b6d42449ebab1cb868d24_FORMATO.png;3;5;3;10;19;63;0;0;14;0;85;0;1;366;8;0;60;0;0;0;2022
70116;38;290;4;3;0.0;2.67;0.0;1.38;25;-1.96;0.87;1.7;39.0;47.0;Fellipe Bastos;Fellipe Ramos Ignez Bastos;https://s.glbimg.com/es/sde/f/2022/03/10/4fc5c3b6693e46bf2e956854bbf5da76_FORMATO.png;0;2;0;10;12;14;0;0;0;0;22;0;0;108;10;0;20;1;0;1;2022
101027;38;290;4;7;-0.6;6.98;-0.64;3.89;33;3.79;4.91;3.17;87.0;94.0;Diego;Jackson Diego Ibrahim Fagundes;https://s.glbimg.com/es/sde/f/2022/03/10/fb1b4d53c6475f4e02123bf33a52a0c2_FORMATO.png;2;5;0;2;10;76;1;0;0;0;63;0;1;233;4;0;33;0;0;0;2022
77570;38;290;4;7;1.0;1.92;0.25;1.29;25;-0.29;1.28;1.28;52.0;81.0;Auremir;Auremir Evangelista dos Santos;https://s.glbimg.com/es/sde/f/2022/03/10/fa84d067860cd66ce61c09be22c58e48_FORMATO.png;0;0;0;2;4;16;0;0;0;0;35;0;0;83;5;0;35;0;0;0;2022
88597;38;356;4;6;0.0;2.44;0.0;0.95;22;0.17;1.1;0.79;47.0;0.0;Lucas Crispim;Lucas de Figueiredo Crispim;https://s.glbimg.com/es/sde/f/2022/05/12/043b82cd8bbcab2108944aa3cf34372e_FORMATO.png;1;1;0;0;4;14;0;0;0;0;16;0;1;136;4;0;13;0;0;0;2022
82730;38;290;1;6;0.0;4.0;0.0;0.0;0;3.11;;;0.0;0.0;Marcelo Rangel;Marcelo Rangel da Rosa;https://s.glbimg.com/es/sde/f/2022/03/10/abd077c51bd538d3a6f8863cb5aaf035_FORMATO.jpeg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022
90715;38;373;5;7;2.7;5.37;-0.72;3.47;29;6.36;2.97;3.65;55.0;0.0;Luiz Fernando;Luiz Fernando Moraes dos Santos;https://s.sde.globo.com/media/person_role/2022/04/30/1d40d4deebb60cfac62aee9763f8e18f_FORMATO.png;2;4;2;13;24;38;0;0;0;0;28;0;11;92;5;0;26;0;0;2;2022
90540;38;263;5;6;0.0;6.52;0.0;2.23;10;1.25;3.74;0.72;47.0;6.0;Diego Gonçalves;Diego Gonçalves;https://s.glbimg.com/es/sde/f/2022/02/21/9f275ce14e02c8b8be4c38953dda7e07_FORMATO.png;2;0;0;3;3;6;0;0;0;0;5;0;2;51;1;0;8;0;0;0;2022
