player_name;points;id_position;id_club;has_played;id_player;scout_fc;scout_fs;scout_pi;scout_ff;scout_a;scout_ds;scout_de;scout_gs;scout_fd;scout_sg;scout_ca;scout_ft;scout_g;scout_pc;scout_ps;scout_pp;scout_i;scout_dp;scout_gc;scout_cv;round;year
Zaracho;0.1;4;282;True;100079;3.0;0.0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Luis Segovia;0.0;3;263;True;100453;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Yuri Alberto;3.2;5;264;True;100652;3.0;1.0;0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1;2023
Liziero;2.4;4;294;True;100761;0.0;0.0;0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Júnior Santos;1.0;5;263;True;101002;1.0;1.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Diego;3.2;4;290;True;101027;2.0;2.0;0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Vitor Jacaré;10.4;5;265;True;101201;2.0;4.0;0;2.0;0.0;6.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Alef Manga;1.3;5;294;True;101254;3.0;2.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
Ademir;2.8;5;265;True;101314;1.0;4.0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1;2023
Guga;7.2;2;266;True;101319;0.0;2.0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2023
