;atleta_id;rodada_id;clube_id;posicao_id;status_id;pontos_num;preco_num;variacao_num;media_num;jogos_num;slug;apelido;apelido_abreviado;nome;foto;id_atleta;scout.A;scout.CA;scout.DS;scout.FC;scout.FD;scout.FF;scout.FS;scout.PI;scout.CV;scout.FT;scout.G;scout.I;scout.SG;scout.DE;scout.GS;scout.PC;scout.PP;scout.PS;scout.DP;scout.GC
0;92496;38;280;4;5;0.0;7.71;0.0;4.63;11;raul;Raul;Raul;Raul Lô Gonçalves;https://s.glbimg.com/es/sde/f/2020/08/28/8c0a624b6d2595beaf51682261e51ccd_FORMATO.png;0;2.0;1.0;41.0;20.0;1.0;4.0;28.0;64.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;102905;38;327;4;6;0.0;1.69;0.0;0.12;5;sabino;Sabino;Sabino;Mateus William Sabino Silva;https://s.glbimg.com/es/sde/f/2021/06/04/1a29b0e0a5d46bfd368cb29ccd65ec3f_FORMATO.png;1;0.0;1.0;5.0;6.0;0.0;1.0;2.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;69102;38;282;5;7;9.6;7.48;1.24;3.78;14;vargas;Vargas;Vargas;Eduardo Jesús Vargas Rojas;https://s.glbimg.com/es/sde/f/2021/04/23/d29b68b56d66316606b2224987ab6846_FORMATO.png;2;2.0;0.0;8.0;9.0;6.0;11.0;8.0;46.0;1.0;2.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;71602;38;327;2;7;9.3;7.01;0.67;3.5;17;joao-paulo;João Paulo;J. Paulo;João Paulo Gomes da Costa;https://s.glbimg.com/es/sde/f/2021/06/04/71c98de1e3ed4f97ef1a68c10b697126_FORMATO.png;3;1.0;0.0;13.0;9.0;1.0;3.0;8.0;125.0;0.0;1.0;1.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;70323;38;1371;6;7;2.8;4.89;-0.4;3.4;26;jorginho;Jorginho;Jorginho;Jorge Amorim de Oliveira Campos;https://s.glbimg.com/es/sde/f/2021/04/27/ed89bb6662d329721f0b34029b57a978_FORMATO.png;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;71631;38;275;1;6;0.0;13.95;0.0;3.48;20;weverton;Weverton;Weverton;Weverton Pereira da Silva;https://s.glbimg.com/es/sde/f/2021/04/30/33d63334ddcba3f0e0150bb2c5aadd75_FORMATO.png;5;0.0;1.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0;55.0;22.0;0.0;0.0;0.0;0.0;0.0
6;38394;38;293;3;6;0.0;9.08;0.0;1.99;24;thiago-heleno;Thiago Heleno;T. Heleno;Thiago Heleno Henrique Ferreira;https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png;6;0.0;5.0;29.0;16.0;2.0;7.0;12.0;104.0;1.0;0.0;1.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;87225;38;293;3;6;0.0;8.7;0.0;2.89;24;pedro-henrique;Pedro Henrique;P. Henrique;Pedro Henrique Ribeiro Gonçalves;https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png;7;1.0;0.0;29.0;10.0;2.0;3.0;24.0;134.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
8;38231;38;277;5;6;0.0;4.7;0.0;1.29;11;diego-tardelli;Diego Tardelli;D. Tardelli;Diego Tardelli Martins;https://s.glbimg.com/es/sde/f/2021/08/27/3054f90a321ef60af993bdedc9f1338d_FORMATO.png;8;0.0;1.0;11.0;7.0;6.0;4.0;6.0;37.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;82792;38;280;6;7;4.59;13.23;-0.33;4.05;34;mauricio-barbieri;Maurício Barbieri;M. Barbieri;Maurício Nogueira Barbieri;https://s.glbimg.com/es/sde/f/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
